tau,recall,fpr,f1,n_smooth,model
0.7337,0.9893,0.084,0.9641,3,MLP_v2
0.7387,0.9892,0.084,0.9641,3,MLP_v2
0.7437,0.9892,0.084,0.9641,3,MLP_v2
0.7487,0.9892,0.084,0.9641,3,MLP_v2
0.7538,0.9892,0.084,0.964,3,MLP_v2
0.7588,0.9891,0.084,0.964,3,MLP_v2
0.7638,0.989,0.084,0.964,3,MLP_v2
0.7688,0.989,0.084,0.9639,3,MLP_v2
0.7739,0.9889,0.084,0.9639,3,MLP_v2
0.7789,0.9886,0.084,0.9637,3,MLP_v2
0.7839,0.988,0.084,0.9635,3,MLP_v2
0.7889,0.9879,0.084,0.9634,3,MLP_v2
0.794,0.9875,0.084,0.9632,3,MLP_v2
0.799,0.9871,0.084,0.963,3,MLP_v2
0.804,0.9861,0.084,0.9625,3,MLP_v2
0.809,0.9856,0.084,0.9622,3,MLP_v2
0.8141,0.9853,0.084,0.9621,3,MLP_v2
0.8191,0.9847,0.084,0.9617,3,MLP_v2
0.8241,0.9829,0.084,0.9609,3,MLP_v2
0.8291,0.9811,0.084,0.96,3,MLP_v2
0.8342,0.9785,0.084,0.9586,3,MLP_v2
0.8392,0.976,0.084,0.9573,3,MLP_v2
0.8442,0.9729,0.0839,0.9558,3,MLP_v2
0.8492,0.9699,0.0839,0.9543,3,MLP_v2
0.8543,0.9661,0.0837,0.9524,3,MLP_v2
0.8593,0.962,0.0836,0.9503,3,MLP_v2
0.8643,0.9586,0.0833,0.9486,3,MLP_v2
0.8693,0.9549,0.0831,0.9467,3,MLP_v2
0.8744,0.95,0.0831,0.9442,3,MLP_v2
0.8794,0.9447,0.083,0.9415,3,MLP_v2
0.8844,0.9386,0.0826,0.9384,3,MLP_v2
0.8894,0.9319,0.0819,0.9351,3,MLP_v2
0.8945,0.9248,0.0802,0.9318,3,MLP_v2
0.8995,0.918,0.0782,0.9288,3,MLP_v2
0.9045,0.9103,0.0746,0.9259,3,MLP_v2
0.9095,0.9025,0.0697,0.9234,3,MLP_v2
0.9146,0.8892,0.0607,0.9192,3,MLP_v2
0.9196,0.8589,0.0503,0.9057,3,MLP_v2
0.9246,0.818,0.0365,0.8865,3,MLP_v2
0.9296,0.7777,0.0225,0.8667,3,MLP_v2
0.9347,0.743,0.0141,0.8474,3,MLP_v2
0.9397,0.716,0.0096,0.831,3,MLP_v2
0.9447,0.6954,0.0067,0.8179,3,MLP_v2
0.9497,0.6785,0.0037,0.8072,3,MLP_v2
0.9548,0.6622,0.0018,0.7961,3,MLP_v2
0.9598,0.6403,0.0009,0.7804,3,MLP_v2
0.9648,0.6204,0.0008,0.7655,3,MLP_v2
0.9698,0.6026,0.0008,0.7517,3,MLP_v2
0.9749,0.5821,0.0008,0.7356,3,MLP_v2
0.9799,0.5438,0.0008,0.7042,3,MLP_v2
0.9849,0.1761,0.0008,0.2993,3,MLP_v2
0.9899,0.1403,0.0008,0.2459,3,MLP_v2
0.995,0.1029,0.0007,0.1866,3,MLP_v2
1.0,0.0,0.0,0.0,3,MLP_v2
0.0,1.0,1.0,0.7273,5,MLP_v2
0.005,1.0,0.0862,0.9687,5,MLP_v2
0.0101,1.0,0.0855,0.9689,5,MLP_v2
0.0151,1.0,0.0854,0.969,5,MLP_v2
0.0201,1.0,0.0854,0.969,5,MLP_v2
0.0251,1.0,0.0854,0.969,5,MLP_v2
0.0302,1.0,0.0854,0.969,5,MLP_v2
0.0352,1.0,0.0854,0.969,5,MLP_v2
0.0402,1.0,0.0854,0.969,5,MLP_v2
0.0452,1.0,0.0854,0.969,5,MLP_v2
0.0503,1.0,0.0854,0.969,5,MLP_v2
0.0553,1.0,0.0853,0.969,5,MLP_v2
0.0603,1.0,0.0853,0.969,5,MLP_v2
0.0653,1.0,0.0853,0.969,5,MLP_v2
0.0704,1.0,0.0853,0.969,5,MLP_v2
0.0754,1.0,0.0853,0.969,5,MLP_v2
0.0804,1.0,0.0853,0.969,5,MLP_v2
0.0854,1.0,0.0853,0.969,5,MLP_v2
0.0905,1.0,0.0853,0.969,5,MLP_v2
0.0955,1.0,0.0853,0.969,5,MLP_v2
0.1005,1.0,0.0853,0.969,5,MLP_v2
0.1055,1.0,0.0853,0.969,5,MLP_v2
0.1106,1.0,0.0853,0.969,5,MLP_v2
0.1156,1.0,0.0853,0.969,5,MLP_v2
0.1206,1.0,0.0853,0.969,5,MLP_v2
0.1256,1.0,0.0853,0.969,5,MLP_v2
0.1307,1.0,0.0853,0.969,5,MLP_v2
0.1357,1.0,0.0853,0.969,5,MLP_v2
0.1407,1.0,0.0853,0.969,5,MLP_v2
0.1457,1.0,0.0852,0.969,5,MLP_v2
0.1508,1.0,0.0852,0.969,5,MLP_v2
0.1558,1.0,0.0852,0.969,5,MLP_v2
0.1608,1.0,0.0852,0.969,5,MLP_v2
0.1658,1.0,0.0852,0.969,5,MLP_v2
0.1709,1.0,0.0852,0.969,5,MLP_v2
0.1759,1.0,0.0852,0.969,5,MLP_v2
0.1809,1.0,0.0852,0.969,5,MLP_v2
0.1859,1.0,0.0852,0.969,5,MLP_v2
0.191,1.0,0.0852,0.969,5,MLP_v2
0.196,1.0,0.0852,0.969,5,MLP_v2
0.201,1.0,0.0852,0.969,5,MLP_v2
0.206,1.0,0.0852,0.969,5,MLP_v2
0.2111,1.0,0.0851,0.9691,5,MLP_v2
0.2161,1.0,0.085,0.9691,5,MLP_v2
0.2211,1.0,0.085,0.9691,5,MLP_v2
0.2261,1.0,0.085,0.9691,5,MLP_v2
0.2312,1.0,0.085,0.9691,5,MLP_v2
0.2362,1.0,0.085,0.9691,5,MLP_v2
0.2412,1.0,0.085,0.9691,5,MLP_v2
0.2462,1.0,0.085,0.9691,5,MLP_v2
0.2513,1.0,0.085,0.9691,5,MLP_v2
0.2563,1.0,0.085,0.9691,5,MLP_v2
0.2613,1.0,0.085,0.9691,5,MLP_v2
0.2663,1.0,0.085,0.9691,5,MLP_v2
0.2714,1.0,0.0848,0.9692,5,MLP_v2
0.2764,1.0,0.0848,0.9692,5,MLP_v2
0.2814,1.0,0.0848,0.9692,5,MLP_v2
0.2864,1.0,0.0848,0.9692,5,MLP_v2
0.2915,1.0,0.0848,0.9692,5,MLP_v2
0.2965,1.0,0.0848,0.9692,5,MLP_v2
0.3015,1.0,0.0848,0.9692,5,MLP_v2
0.3065,1.0,0.0848,0.9692,5,MLP_v2
0.3116,1.0,0.0848,0.9692,5,MLP_v2
0.3166,1.0,0.0848,0.9692,5,MLP_v2
0.3216,1.0,0.0848,0.9692,5,MLP_v2
0.3266,1.0,0.0848,0.9692,5,MLP_v2
0.3317,1.0,0.0848,0.9692,5,MLP_v2
0.3367,1.0,0.0848,0.9692,5,MLP_v2
0.3417,1.0,0.0848,0.9692,5,MLP_v2
0.3467,1.0,0.0848,0.9692,5,MLP_v2
0.3518,1.0,0.0848,0.9692,5,MLP_v2
0.3568,1.0,0.0848,0.9692,5,MLP_v2
0.3618,1.0,0.0848,0.9692,5,MLP_v2
0.3668,1.0,0.0848,0.9692,5,MLP_v2
0.3719,1.0,0.0848,0.9692,5,MLP_v2
0.3769,1.0,0.0848,0.9692,5,MLP_v2
0.3819,1.0,0.0848,0.9692,5,MLP_v2
0.3869,1.0,0.0848,0.9692,5,MLP_v2
0.392,1.0,0.0848,0.9692,5,MLP_v2
0.397,1.0,0.0848,0.9692,5,MLP_v2
0.402,1.0,0.0846,0.9693,5,MLP_v2
0.407,1.0,0.0845,0.9693,5,MLP_v2
0.4121,1.0,0.0845,0.9693,5,MLP_v2
0.4171,1.0,0.0845,0.9693,5,MLP_v2
0.4221,1.0,0.0845,0.9693,5,MLP_v2
0.4271,1.0,0.0845,0.9693,5,MLP_v2
0.4322,1.0,0.0845,0.9693,5,MLP_v2
0.4372,1.0,0.0845,0.9693,5,MLP_v2
0.4422,1.0,0.0845,0.9693,5,MLP_v2
0.4472,1.0,0.0845,0.9693,5,MLP_v2
0.4523,1.0,0.0845,0.9693,5,MLP_v2
0.4573,1.0,0.0845,0.9693,5,MLP_v2
0.4623,1.0,0.0845,0.9693,5,MLP_v2
0.4673,1.0,0.0845,0.9693,5,MLP_v2
0.4724,1.0,0.0845,0.9693,5,MLP_v2
0.4774,1.0,0.0845,0.9693,5,MLP_v2
0.4824,1.0,0.0845,0.9693,5,MLP_v2
0.4874,1.0,0.0845,0.9693,5,MLP_v2
0.4925,1.0,0.0845,0.9693,5,MLP_v2
0.4975,1.0,0.0845,0.9693,5,MLP_v2
0.5025,1.0,0.0845,0.9693,5,MLP_v2
0.5075,1.0,0.0845,0.9693,5,MLP_v2
0.5126,1.0,0.0845,0.9693,5,MLP_v2
0.5176,1.0,0.0845,0.9693,5,MLP_v2
0.5226,1.0,0.0845,0.9693,5,MLP_v2
0.5276,1.0,0.0845,0.9693,5,MLP_v2
0.5327,1.0,0.0845,0.9693,5,MLP_v2
0.5377,1.0,0.0845,0.9693,5,MLP_v2
0.5427,1.0,0.0845,0.9693,5,MLP_v2
0.5477,1.0,0.0845,0.9693,5,MLP_v2
0.5528,1.0,0.0845,0.9693,5,MLP_v2
0.5578,1.0,0.0845,0.9693,5,MLP_v2
0.5628,1.0,0.0845,0.9693,5,MLP_v2
0.5678,0.9999,0.0845,0.9692,5,MLP_v2
0.5729,0.9998,0.0845,0.9692,5,MLP_v2
0.5779,0.9998,0.0845,0.9692,5,MLP_v2
0.5829,0.9996,0.0845,0.9691,5,MLP_v2
0.5879,0.9996,0.0845,0.9691,5,MLP_v2
0.593,0.9994,0.0845,0.969,5,MLP_v2
0.598,0.9994,0.0844,0.969,5,MLP_v2
0.603,0.9994,0.0842,0.9691,5,MLP_v2
0.608,0.9994,0.0841,0.9691,5,MLP_v2
0.6131,0.9994,0.0841,0.9691,5,MLP_v2
0.6181,0.9994,0.0841,0.9691,5,MLP_v2
0.6231,0.9994,0.0841,0.9691,5,MLP_v2
0.6281,0.9994,0.0841,0.9691,5,MLP_v2
0.6332,0.9992,0.0841,0.969,5,MLP_v2
0.6382,0.9992,0.0841,0.969,5,MLP_v2
0.6432,0.9992,0.0841,0.969,5,MLP_v2
0.6482,0.9992,0.0841,0.969,5,MLP_v2
0.6533,0.999,0.0841,0.9689,5,MLP_v2
0.6583,0.999,0.0841,0.9689,5,MLP_v2
0.6633,0.999,0.0841,0.9689,5,MLP_v2
0.6683,0.999,0.0841,0.9689,5,MLP_v2
0.6734,0.999,0.0841,0.9689,5,MLP_v2
0.6784,0.9989,0.0841,0.9689,5,MLP_v2
0.6834,0.9989,0.0841,0.9688,5,MLP_v2
0.6884,0.9988,0.0841,0.9688,5,MLP_v2
0.6935,0.9987,0.0841,0.9688,5,MLP_v2
0.6985,0.9985,0.0841,0.9687,5,MLP_v2
0.7035,0.9981,0.0841,0.9685,5,MLP_v2
0.7085,0.998,0.0841,0.9684,5,MLP_v2
0.7136,0.9974,0.0841,0.9681,5,MLP_v2
0.7186,0.997,0.0841,0.9679,5,MLP_v2
0.7236,0.9966,0.0841,0.9677,5,MLP_v2
0.7286,0.996,0.0841,0.9674,5,MLP_v2
0.7337,0.9952,0.0841,0.967,5,MLP_v2
0.7387,0.9943,0.0841,0.9666,5,MLP_v2
0.7437,0.9936,0.0841,0.9662,5,MLP_v2
0.7487,0.9929,0.0841,0.9658,5,MLP_v2
0.7538,0.9923,0.0841,0.9656,5,MLP_v2
0.7588,0.9916,0.0841,0.9652,5,MLP_v2
0.7638,0.9909,0.0841,0.9648,5,MLP_v2
0.7688,0.9906,0.0841,0.9647,5,MLP_v2
0.7739,0.9902,0.0841,0.9645,5,MLP_v2
0.7789,0.9898,0.0841,0.9643,5,MLP_v2
0.7839,0.989,0.0841,0.9639,5,MLP_v2
0.7889,0.988,0.0841,0.9634,5,MLP_v2
0.794,0.9874,0.0841,0.9631,5,MLP_v2
0.799,0.9868,0.084,0.9628,5,MLP_v2
0.804,0.9859,0.084,0.9624,5,MLP_v2
0.809,0.9853,0.084,0.9621,5,MLP_v2
0.8141,0.9847,0.084,0.9617,5,MLP_v2
0.8191,0.9842,0.084,0.9615,5,MLP_v2
0.8241,0.9828,0.084,0.9608,5,MLP_v2
0.8291,0.9817,0.084,0.9602,5,MLP_v2
0.8342,0.9805,0.084,0.9596,5,MLP_v2
0.8392,0.9782,0.084,0.9585,5,MLP_v2
0.8442,0.9759,0.084,0.9573,5,MLP_v2
0.8492,0.9732,0.084,0.9559,5,MLP_v2
0.8543,0.9696,0.084,0.954,5,MLP_v2
0.8593,0.9651,0.084,0.9517,5,MLP_v2
0.8643,0.9603,0.0837,0.9493,5,MLP_v2
0.8693,0.9558,0.0836,0.947,5,MLP_v2
0.8744,0.9501,0.0833,0.9442,5,MLP_v2
0.8794,0.9439,0.0833,0.9409,5,MLP_v2
0.8844,0.9383,0.0829,0.938,5,MLP_v2
0.8894,0.931,0.0825,0.9343,5,MLP_v2
0.8945,0.9215,0.0815,0.9296,5,MLP_v2
0.8995,0.9134,0.0795,0.9259,5,MLP_v2
0.9045,0.9053,0.0762,0.9226,5,MLP_v2
0.9095,0.895,0.0704,0.919,5,MLP_v2
0.9146,0.884,0.0603,0.9164,5,MLP_v2
0.9196,0.8569,0.0472,0.9057,5,MLP_v2
0.9246,0.8112,0.0337,0.8834,5,MLP_v2
0.9296,0.7712,0.0205,0.8633,5,MLP_v2
0.9347,0.7373,0.0143,0.8436,5,MLP_v2
0.9397,0.7088,0.0097,0.8261,5,MLP_v2
0.9447,0.689,0.0062,0.8136,5,MLP_v2
0.9497,0.6702,0.0032,0.8014,5,MLP_v2
0.9548,0.6526,0.0009,0.7895,5,MLP_v2
0.9598,0.6347,0.0009,0.7762,5,MLP_v2
0.9648,0.6143,0.0007,0.7608,5,MLP_v2
0.9698,0.5829,0.0007,0.7362,5,MLP_v2
0.9749,0.5524,0.0007,0.7114,5,MLP_v2
0.9799,0.5099,0.0007,0.6752,5,MLP_v2
0.9849,0.1645,0.0007,0.2824,5,MLP_v2
0.9899,0.1321,0.0007,0.2332,5,MLP_v2
0.995,0.0965,0.0005,0.176,5,MLP_v2
1.0,0.0,0.0,0.0,5,MLP_v2
0.0,1.0,1.0,0.7273,7,MLP_v2
0.005,1.0,0.0858,0.9688,7,MLP_v2
0.0101,1.0,0.0857,0.9689,7,MLP_v2
0.0151,1.0,0.0857,0.9689,7,MLP_v2
0.0201,1.0,0.0857,0.9689,7,MLP_v2
0.0251,1.0,0.0857,0.9689,7,MLP_v2
0.0302,1.0,0.0857,0.9689,7,MLP_v2
0.0352,1.0,0.0857,0.9689,7,MLP_v2
0.0402,1.0,0.0856,0.9689,7,MLP_v2
0.0452,1.0,0.0856,0.9689,7,MLP_v2
0.0503,1.0,0.0856,0.9689,7,MLP_v2
0.0553,1.0,0.0856,0.9689,7,MLP_v2
0.0603,1.0,0.0856,0.9689,7,MLP_v2
0.0653,1.0,0.0856,0.9689,7,MLP_v2
0.0704,1.0,0.0856,0.9689,7,MLP_v2
0.0754,1.0,0.0856,0.9689,7,MLP_v2
0.0804,1.0,0.0856,0.9689,7,MLP_v2
0.0854,1.0,0.0856,0.9689,7,MLP_v2
0.0905,1.0,0.0855,0.9689,7,MLP_v2
0.0955,1.0,0.0855,0.9689,7,MLP_v2
0.1005,1.0,0.0855,0.9689,7,MLP_v2
0.1055,1.0,0.0855,0.9689,7,MLP_v2
0.1106,1.0,0.0855,0.9689,7,MLP_v2
0.1156,1.0,0.0855,0.9689,7,MLP_v2
0.1206,1.0,0.0855,0.9689,7,MLP_v2
0.1256,1.0,0.0855,0.9689,7,MLP_v2
0.1307,1.0,0.0855,0.9689,7,MLP_v2
0.1357,1.0,0.0855,0.9689,7,MLP_v2
0.1407,1.0,0.0855,0.9689,7,MLP_v2
0.1457,1.0,0.0855,0.9689,7,MLP_v2
0.1508,1.0,0.0853,0.969,7,MLP_v2
0.1558,1.0,0.0853,0.969,7,MLP_v2
0.1608,1.0,0.0853,0.969,7,MLP_v2
0.1658,1.0,0.0853,0.969,7,MLP_v2
0.1709,1.0,0.0853,0.969,7,MLP_v2
0.1759,1.0,0.0853,0.969,7,MLP_v2
0.1809,1.0,0.0853,0.969,7,MLP_v2
0.1859,1.0,0.0853,0.969,7,MLP_v2
0.191,1.0,0.0853,0.969,7,MLP_v2
0.196,1.0,0.0849,0.9691,7,MLP_v2
0.201,1.0,0.0849,0.9691,7,MLP_v2
0.206,1.0,0.0849,0.9691,7,MLP_v2
0.2111,1.0,0.0849,0.9691,7,MLP_v2
0.2161,1.0,0.0849,0.9691,7,MLP_v2
0.2211,1.0,0.0849,0.9691,7,MLP_v2
0.2261,1.0,0.0849,0.9691,7,MLP_v2
0.2312,1.0,0.0849,0.9691,7,MLP_v2
0.2362,1.0,0.0849,0.9691,7,MLP_v2
0.2412,1.0,0.0849,0.9691,7,MLP_v2
0.2462,1.0,0.0849,0.9691,7,MLP_v2
0.2513,1.0,0.0849,0.9691,7,MLP_v2
0.2563,1.0,0.0849,0.9691,7,MLP_v2
0.2613,1.0,0.0849,0.9691,7,MLP_v2
0.2663,1.0,0.0849,0.9691,7,MLP_v2
0.2714,1.0,0.0849,0.9691,7,MLP_v2
0.2764,1.0,0.0849,0.9691,7,MLP_v2
0.2814,1.0,0.0849,0.9691,7,MLP_v2
0.2864,1.0,0.0849,0.9691,7,MLP_v2
0.2915,1.0,0.0848,0.9692,7,MLP_v2
0.2965,1.0,0.0848,0.9692,7,MLP_v2
0.3015,1.0,0.0848,0.9692,7,MLP_v2
0.3065,1.0,0.0848,0.9692,7,MLP_v2
0.3116,1.0,0.0848,0.9692,7,MLP_v2
0.3166,1.0,0.0848,0.9692,7,MLP_v2
0.3216,1.0,0.0848,0.9692,7,MLP_v2
0.3266,1.0,0.0848,0.9692,7,MLP_v2
0.3317,1.0,0.0848,0.9692,7,MLP_v2
0.3367,1.0,0.0848,0.9692,7,MLP_v2
0.3417,1.0,0.0848,0.9692,7,MLP_v2
0.3467,1.0,0.0848,0.9692,7,MLP_v2
0.3518,1.0,0.0848,0.9692,7,MLP_v2
0.3568,1.0,0.0848,0.9692,7,MLP_v2
0.3618,1.0,0.0848,0.9692,7,MLP_v2
0.3668,1.0,0.0848,0.9692,7,MLP_v2
0.3719,1.0,0.0848,0.9692,7,MLP_v2
0.3769,1.0,0.0848,0.9692,7,MLP_v2
0.3819,1.0,0.0848,0.9692,7,MLP_v2
0.3869,1.0,0.0848,0.9692,7,MLP_v2
0.392,1.0,0.0848,0.9692,7,MLP_v2
0.397,1.0,0.0848,0.9692,7,MLP_v2
0.402,1.0,0.0848,0.9692,7,MLP_v2
0.407,1.0,0.0848,0.9692,7,MLP_v2
0.4121,1.0,0.0848,0.9692,7,MLP_v2
0.4171,1.0,0.0848,0.9692,7,MLP_v2
0.4221,1.0,0.0848,0.9692,7,MLP_v2
0.4271,1.0,0.0847,0.9692,7,MLP_v2
0.4322,1.0,0.0846,0.9693,7,MLP_v2
0.4372,1.0,0.0845,0.9693,7,MLP_v2
0.4422,1.0,0.0845,0.9693,7,MLP_v2
0.4472,1.0,0.0845,0.9693,7,MLP_v2
0.4523,1.0,0.0845,0.9693,7,MLP_v2
0.4573,1.0,0.0845,0.9693,7,MLP_v2
0.4623,1.0,0.0845,0.9693,7,MLP_v2
0.4673,1.0,0.0845,0.9693,7,MLP_v2
0.4724,1.0,0.0845,0.9693,7,MLP_v2
0.4774,1.0,0.0845,0.9693,7,MLP_v2
0.4824,1.0,0.0845,0.9693,7,MLP_v2
0.4874,1.0,0.0845,0.9693,7,MLP_v2
0.4925,1.0,0.0845,0.9693,7,MLP_v2
0.4975,1.0,0.0845,0.9693,7,MLP_v2
0.5025,1.0,0.0845,0.9693,7,MLP_v2
0.5075,1.0,0.0845,0.9693,7,MLP_v2
0.5126,1.0,0.0845,0.9693,7,MLP_v2
